000a fff6 0001 000b
ffff 0005 fff1 fff1
fff7 0023 fff3 ffe6
0007 ffc8 fff0 0031
001b 003b 000a 0021
0005 0014 0017 ffff
0085 0014 fff7 0003
0009 ffed 0013 fffd
fffe 0011 000d 0002
0005 000b fffe ffe7
0010 0003 fff8 ffff
ffff 000a fffd ffef
fff7 0007 fffd ffe5
0007 0017 fffb 000f
ffce fffb ffdf fff3
0007 000b 000d ffea
fff7 fffb ffe4 0010
ffe5 fffc 0013 fff6
ffe9 fffa 0003 fffc
ffe8 0007 000c fffa
ffea ffee 0017 ffed
ffef ffd3 fff6 0024
000c ffe9 0007 0021
ffed 000d 0009 fff8
002d 0019 fffb 0003
0000 fff4 fffa 0014
005f fffa 000f ffe2
fffc 0013 001c fffb
0007 fff2 000c 001f
0017 ffde 0008 000d
ffa2 0012 000f 001e
ffe5 0028 fff0 001e
0019 0008 fff8 ffda
000d ffec 0000 fffe
001a 0006 0011 fffe
fff3 fffe fff9 fff2
ffc4 ffcc 0007 ffff
0007 0019 ffef 0015
000c ffdc 0002 0002
000e ffe5 000a ffb5
001a ffe0 0006 ffed
001c fff9 ffe8 fffe
0019 fff9 fff6 ffdf
fff8 ffee ffeb 002e
ffe4 0027 fff2 fff4
002b 0009 000a ffff
ffe4 ffed 000f 0017
0008 ffea fff3 000c
